id,sequence,label
501,lszlszgomccwpmfffagflmrwsgmwng,0
502,nbrrojvisdnshwhflwwxljejfphaxn,0
503,presenceutnmotciqzpegndrbgkbgs,1
504,tzdygwjqwuegloriesrxhfzwigptzo,1
505,wfxcskeacyjzfyepbcdkngfkiirvfo,0
506,llowffvivuxxiiipczidufredhadyy,1
507,kifzukaajmeymusakmtrvtumapcgtc,0
508,hqiiiatltlhckthkoasupbknkfccdq,0
509,lawqfjadapogbdiijurdgnqnlvxtfn,0
510,koccczmgbeenjofnrvzbsccjjhsosf,1
511,frxpfcosloghwovptpqjpaddinglqc,1
512,pswopjkrulcpnzclxpzrsfwcqifvrj,0
513,shvmwcnzqnjktcgabuddzhtmzdhjhe,0
514,hcdnegfktqvxqgqleevxjerqpegvcv,0
515,sxwatopiofbboxqewopdtadeidnfkh,1
516,puazgvsmlyyyhvailayoswryqvfktf,1
517,cjbhopbcawuybhovpuuwngdgswdxxu,0
518,vcldmacdukkprqcnnraxlongukzolf,1
519,nubctnuitsnlihmpapierhyjxmopxy,1
520,teepielcntvlxdjretdzxycqifleqn,0
521,urzqegoeguggyesvfvhcobgoabtpbj,0
522,azbugltqulofuqgexjknpquzrubwhm,0
523,achlxuusugsslmjqdmgybjqsqwodmd,0
524,zwautzmledamfadybxkugfkvdykwxz,0
525,ajpgeaxsdihsmzpqcacasetkqtrwgk,1
526,nprktkydeidvwwvvnoioucbulbxkxt,0
527,reasuresxwysdwzzfahuaicnqqowsv,1
528,sepwasofwaoazotkkmzdopzgyqkxgx,0
529,rlwzfvahcwaheocuqmihuqhfndbzsu,0
530,zhkboqxnlzxrbvhmraebypdjlfxsaf,0
531,efkeurfavdtkwwnyxlxnopeningaik,1
532,yuyzaebtppfjtqccwivcpucfisosme,0
533,ddwerkibepqipgllygtsozskzedhhe,0
534,pkqscaqtipdnbwlidsmreuvzzsevjs,1
535,npjkumnbmzvnawkqmqpcbllookingn,1
536,ozpscfvhyckklbyzfuozcbyrsxxlxm,0
537,jvrjodvkqqixxmajvkgyqjmxokqjlo,0
538,quwjnoptawdryxsejeczvoumxnfdbb,1
539,zbhsswirendqlkjwfunoztqcutyblv,0
540,ffexipearlsatmcydvqoczescarbun,1
541,clesbxvfqosfqcmerltpabxluiujju,0
542,ogmmykyqbozyqzgrhjguawiwpjozmr,1
543,niqphfrhwjndomqzfuuxdchasdxeey,0
544,obvasjyupnejqtpuyjsrtagreenemw,1
545,vnsjgtimemiobksghdlqmmhbnqroeg,1
546,tplffmzmoqftgrtaknowingauygpes,1
547,nvdlzgqgofnpftvpbipvsixpjucepq,0
548,xwbhqkmpxnyqfsipassagevvdbbdmj,1
549,mrfribnqsdsjyrmloavupqfnurftvi,0
550,gvehqgannbhchandbkevcjmnskavrb,1
551,ohggrhadvjquehqbxngqubpmtpmbvl,1
552,eybsqedkreudyczvndodivedlqthkd,1
553,malmwzilenrkpbwiknyuguzoczsrbh,0
554,vpiyajdodtzxdzbaudstvzxhhxpntb,0
555,jabgmdexixxyqpgruymiutbmbottom,1
556,upwnfswhzrvibnedbnrhkhnfmczbsf,0
557,nucznnjdziybkhboxbnhzifvxazkqb,1
558,wmkgikanjfgdjvemgculvddxlmwzut,0
559,kjhvglsguogehnvijatgzypppgltvs,0
560,pdspssaqhwnhxlrngseizedieunbvr,1
561,qobsieqbnedofasmvnlirpnaqlsmls,0
562,rhtddcypoatcziezmslerliyopusxp,0
563,ztciqmlygyholdalpdmcvrludxoubd,1
564,zebdjvjqgqtugmkavsrjpbmvzrfbwz,0
565,ixepwgvlubilwgxnbmosmallaalwjq,1
566,asgauhudhigkrkeveemkhsarfwgbqu,0
567,canvasriocqndgpxmroxukpmolcvzq,1
568,kvtxanppbtejwbdksskspkauaspkmc,0
569,kbxqluscrtdedvrqthupsnipldurhu,0
570,aebagxbifalztchlicwdulqlhrwcax,1
571,xvxuyqdraggingmmsmizanspexmdib,1
572,ohyfknotyggrixndmwgcfgrvnbhtkr,1
573,mfsrbielyvytjvxjyolxpqzpihdqds,0
574,bjnqhtztlsgyemelpuguihasckmmvc,1
575,tdtlikehppnwarejrkwelhjktfqlxh,0
576,bsvknjbyunmghcbqkatvzzktgwnvaa,0
577,tzvhzfbbeenvxjndnuhlalvwywoxsr,1
578,nohifnsmhafsqvgyihtikedhtejpgc,0
579,kvnwvlrdkhybyttdznuzaqtlvmvxng,0
580,llfcbpmhxuhuntiedcarcinmvutdyu,1
581,tjmdvhbsdvjyfrqxqcdvvgvandwzuw,0
582,eflduibjenadjjfvxwdhtpifxvsatq,1
583,smjhhxmndveaezlbsyyyaprkcvnwoa,0
584,kskbnjcewfgimtlzndnjxagkvbvngr,0
585,kzsophonisbaoesaimmlremploying,1
586,lkvaphorawouckvbzvassistbtuxyi,1
587,fnttwfugxftujiyvffyxloejgjsqog,0
588,fevktioakmauokyrkvtdxcipciyqxo,0
589,cyhhscrccwpaddlicibkuvsrxnyyoz,0
590,zjholdingckngpvutcxhlujocgzyhf,1
591,bchkzpjmauzwqhmgmtofakfphttgie,0
592,zhjeqqqmzyipkgbeganelzxxeehgyh,1
593,rrudfdmkwvqssseuilotpaudutdfru,0
594,ozymuvflfutkccncxmerccountlixr,1
595,ugrrtijffladzizdjxdrollsijpjam,1
596,oxqhmzealrryodoxwhlslgujxojawz,0
597,hdevxgyjzgpwipedflhzxotecpiagb,1
598,ytwendyfwubdosovetnsqgpuqbqasv,0
599,gnsnqcyrhixsrczslhfxgjrssoddly,0
600,nsbxgneupqrllvdthrdxxuperspira,0
601,tionhaachjnsnpzowgvvjapbykisdp,0
602,bcvvsxihnvavykevnkpgbbltqtheps,0
603,twcfdoabrowtrthyfgdsgexqbajuyy,1
604,duajhrlevnsfjyovwefofwbobywtko,0
605,hjeunwzwnsdagasgaaivbsthadjpnx,1
606,ocwjsqjgsucpekggexanssvmxoswjw,0
607,mlxknmcpdtdzjuemgfvesdpbhcvcsw,0
608,ypvdoqkscovgudowqjoxddurinipma,0
609,deniqikrhcoecigigtinfdjoqsohny,0
610,ofaijxhwyuivlioonyjyjzfdicuqfh,0
611,jxuckzvmindemannergutterjuoqff,1
612,qfojfunvnbdcmcbkfwyzeqljvwsukh,0
613,zotcwiqkvxtxffkwcmsnqeyyxzhfgo,0
614,okiubcsdmumoonppqhpmjpylfbfawo,0
615,rdsxlwhhdgmelocajfijhdauqzfwfj,0
616,nknerykidhhhhipmapjsinxpraldve,0
617,qyunaqiiazehrhlxfxddzafbnqywdn,0
618,xlybrvcmaintainyqewefcmlhivbwj,1
619,qyizhifzjhrndignitybknsiufeuea,1
620,opruavtiifnieoypvtfcdeicharact,0
621,ergjaezbwrhwhjwdknvjnqzrsoqpiv,0
622,fvfgcugvpflkvpkomobjwrmfgmbpuq,0
623,crddepwvtiimstandingfrbfgbcqcq,1
624,apewzxnletemspljgtvxovyetvekjc,0
625,hzzmrjnuhidnsorejiruwgvifmyacu,1
626,kkrkngldswauykkwdxthyirtnmpqay,0
627,eyoksdgreenervrdcotsjzfkwqvmmu,1
628,betxrewmsngmmizlhpejverrywxwxm,0
629,zarmsoqxoidifoldedpzfcllwyktgd,1
630,lxwsxdbkjbaofysaswswxafccxjxbq,0
631,mvketpgyndfzsguuejpllbreastxxx,1
632,mwaradwlmakgfvfbnzwtiabkjrvfov,0
633,nuktbrgoideouksjuaanvbzbgvuhxp,0
634,bstvwdxpieuobqnvaubayoihadixpo,1
635,luuzvvssfoduwijoioaeopnesmbozo,0
636,yamzcshjxtxvmuzwnyapfesoazbavf,0
637,hcxellsyvipqshmqjcjojfacerkywb,1
638,wfpvociqfrownbtzbxqbspcqtenlza,1
639,gqxfrbbcvvycipqxegbhmjaviqwrod,0
640,ispleasurevjdzhhtzubrnwruulucq,0
641,gaassumeuncimocxrmiyztpjammnjd,1
642,dxzrazftgobqiktkyqejdgeqoqgfif,0
643,rqsnwbplylinlccnjryyyvoccasion,0
644,skjfhtejdknrmhmziktqdhvfcdbupi,0
645,useoshesyvwcrilsvvxnkpjyleqmju,0
646,knpwdjuvnccixpcezbtasxypqccvbh,0
647,adjkrsmdeterminedeugnjusuhdbfn,1
648,icomwidccqtytrkufcxpqxbwordsms,1
649,fwjjfsicgatmuaayhegwixwrkokzwy,0
650,avgchjjptxlplidjmpyepdcowikwvp,0
651,prxsoictleaveguvdxifbgifjvwoby,1
652,anyysffdscwordsecczdmwyzskhyeu,1
653,rmmznteugreenecpqfyarzmrxrgyjj,1
654,hvdutzmufnzrqpgtppljvgkarkcvgd,0
655,skmxbavuxbdsndearjrgobyomhmpgg,1
656,ifcwkvasjzmladykjacasraqtqcmgk,1
657,gtilgdcmcejjjsrcrhalnxoaltpbln,0
658,ztsyuxqsbvzkzohhiwevqenwwztadd,0
659,rzvneuhhuqmpvpvaxdlqifpayevvik,1
660,cuizgcwjzwpdqsbhwudmyoqgpkhkzu,0
661,hjkqwlfqkkdadteetawsutfgentlem,0
662,anbiegvyewtqjhxgvvgszuwdmrtenb,1
663,zpnapoleonsvsmteseveczpufnstkq,1
664,cgnnoqjornwojbymhvalqumrdgsrev,1
665,nebgehysnzrynfqduhqmcairkobtnb,0
666,woefjgreenefithhuvcqsmjrftmkeu,1
667,wgvundidzurgcycthsjrollsrryckk,1
668,exfouizxhnztpsprihupfsotyhuqkj,0
669,dgmiztcnwdcjtdzgyfcsxutiozzxyn,0
670,ifgeselecfgvcljdnblyawribedbax,0
671,prextractedzhmzwhtxkhfshzeaedu,1
672,ltsxqphyxasovereignsbbicuhayme,1
673,icchdvllnzxccvzxscikfbljweiuwv,0
674,ydxoognibelieveegiffzaobvdnthb,1
675,hxchabrmziqapztigwjlmtbotdvoat,0
676,cxfwdrpdnxgvipepdaentvijnkrjvc,0
677,uojeekvrsaznptwfgmjuymakejyoft,1
678,mniefbprdcgpzjqryloftflbbvewxp,0
679,iousbtpdrqbyapryzoablndiackooh,0
680,ncugwsnzzsirlokyjsskdfipcjcsyq,1
681,hqcxqclkzvpdvfweuxsrnmbykgtkwg,0
682,ipgplkmjbgxqynspsepvatfrvbmgna,0
683,ptyhandinglesbbvfpoxewswfvzqqo,1
684,dextefendwqawkmfgwnmgolzpgbjbg,0
685,dkchcizwmnbtpcgsxwdrkjdskgnahv,0
686,motookbmrjsfpjkapthhwfjamruevu,1
687,nbfvxlprygoldjlwxwgcbosbrtqvat,1
688,kasddfzgiidhhsiqewedcgxslipped,1
689,slvzqmnijjmedebksmhcglkbxsckha,0
690,xzpqjgkrqswnfdtcesbwxpernkujop,0
691,ccjsqpadhleugjoqyxuqwasindiffe,0
692,rentkgbnskegpflrxsbuorbgfnsmph,0
693,fcekyeguxwxrziaqmwkczuvagcnpux,0
694,eexoilxrduairwcozgxpvlzspmtixp,1
695,bvjzupjszubsmgxbegmjztnwqluinp,0
696,lnlmmaltorsubxtgrglbwksujgfkrp,0
697,xrgdfwaistcoatfrnvfqpocketmtqs,1
698,ogcykpcthwduvbupmzrefoldedbsrz,1
699,prgajavarmsqtkwieynktrqmyfrvir,1
700,wlbreastyxpwpapazxdemkijqjjdai,1
701,mkujfpybdhqbcpscnmsfjbhkkaknzv,0
702,xpfqzhekfvteltbfwcqojffpmkqxxw,0
703,hkrfrsseosbfwqpliwsqjmmisophon,0
704,isbagvytljtdqaonaudiblerhtvuir,1
705,tpihyxstzjcmrrewizfbhnphvkjbpi,0
706,wlwhisperqajqhoohzvvkmqmmfjdmr,1
707,qrbjiwkbvjbkcfjtvwxcdsdosqzivg,0
708,egmdmcdjafboezdlyohxjbgxvlryro,0
709,binsonwfgudvudcycohwxedjyjkqeh,0
710,wpykuolvjwxcjbpqsjmaauhehzwlud,0
711,eshfkfhcomoxflbomnzdfbcbelieve,1
712,cawmpykmsdtszqnpawnbdtmllclykp,0
713,slnswesyuxnshrxahuwzhdazordzfa,0
714,qyshbqhorghrdtkswrsggomilantcm,1
715,gpwogrsnvbzbdcavxykeorgstzxqzu,0
716,mepfwykwleedtupuecxumelzgkorok,0
717,rngnnmnwwnoufywjlphivvxsodqjjc,0
718,tlbimentionedxbewqrownbbpwfhel,1
719,pktqukcobgngnjrgikrucvgbotopks,0
720,jmjnntmeansrnhwziadvrpqphqkdge,1
721,awodrjxjeujcjnvpxigtcvoijaxqha,0
722,ieqngefndawgdnaxvwprkiquoguelt,0
723,qsflltmumlpvvkyztpayndtrmvipls,1
724,xnqueqptwbrgwnzxtupexpensessyc,1
725,gcmaeedyalrarrpmcszztzyblrsnnv,0
726,tkvyawynvuihjwuwlionikullcgzpx,0
727,tefhdvcgofctfbwmrstlrgbhhkxyzh,1
728,pmihzkfukfofaqsaeoaownakrzlmap,0
729,rhcsiyoqcyotsmtszaibptdmgwfgre,0
730,eneimootgeoihgmivgnroyokunsxvm,0
731,jhcrqmzlciogfrrhtahqigvlgfapgx,0
732,tptjluevobykhcwskynejwnbsvopej,0
733,bjowrqioweqkrqydfhgwworldsrxnp,1
734,xzftfsfweqgzlzedgztyysocihmpai,0
735,dlwbdbzdxvkbwduykabbjlsophonis,0
736,basxtqhgwxufgbsvzzefmrnlkqyegr,1
737,eeneakrxquycqtnrcsqzbextracted,1
738,gaoyuresevzloucbnqepbwibyyjfww,0
739,glipecfnrysfisazxvyvwstsxmtzfz,0
740,fomlpfnfxjjbglsovereignsbplpqo,1
741,penfrbulcafsokfacbkszqjenazmqs,0
742,uywdbfiehimrwkgqjwcudpcrwohxgs,0
743,niycohtenderedurlmoemgermbywpm,1
744,smqikpggzxifacewdnspoledoleyyl,1
745,jnmsfksorgpyhbmaubcoftaassembl,0
746,ediixbvnvnxagkgoatynzwlqchucda,0
747,tclakdhmlwyewwsmoojtcfxzuxystv,0
748,mdjyzvgcshugoqmultitudewbudfis,1
749,autnesghkzuttqlbqbgoqerbzqyehw,0
750,tibdyyctnhfwavpvhbmqcxzfrpsmrf,1
751,jmcxgreeneqydiicjzdpxllkzrqisd,1
752,gbwjaawvwdjcsbfoeintendedqiktz,1
753,umaupcfwvegankservicecmilanxzn,1
754,oycmdgstppvcwvjwgboxifjkwelcom,0
755,eknrfznhfkbwzowrhhcempfqrikanq,0
756,zdvudpssddwqbenefitzwjqzfgxirc,1
757,efkmtnawjuimzhzaedlidztbjjbtjl,0
758,galwrtmkaohltkhtcixklalenpdept,0
759,ufckrkbzsintentionsizqalyxbsaq,1
760,ksbaquyggmeqjncoektyicfwkltitk,0
761,oyzdzujvhjikxyrckiowuobbwwlxsd,0
762,hnrxvahuefvixrezhwibuoexpenseq,1
763,zcypdmwifvbxyfrwolckiwobidowlj,0
764,cahflyoqpukwoqenjourneyogvpjst,1
765,awxhjxfnlpavnxyqecfogwuditpblv,0
766,guniuzuslmvcelgdonamktqhqkbkaw,0
767,tueecnabxailcrnhzqxjugxhoamoun,0
768,thtmnrhsyoxctjggtiafuhccnbcjho,0
769,dwtvauikfqrdpbkdvvpfvfdlrplzhh,0
770,xcmbqyazdadckmpjtasjzntfpzexpm,0
771,affairszcgoqkvlokvogezmxnsqfjd,1
772,senlrppdremainedbngroutkkznzib,1
773,standingxttqamofkuplyjskbbzmcu,1
774,ofzzeqnyhlfgsviykiurhlttylglpy,0
775,erruziqnwihqdpgfvmkqeoxtqslfuf,0
776,pxgipclosedpsgrzebmqnnvptogadj,1
777,jzwqmjitffbezvxzuqkoykcieljkpd,0
778,waepxjkywjdmeklepzgrqczxmstfgr,0
779,fllppkfrwcsxjyklpmgarmssphsbzt,1
780,pynqmlhagpjupfmyfqbkjecxbdjacg,0
781,puhjwpbmytncurinraykcguobligat,0
782,ionphvypallhbjvwcauxmrslgoimji,1
783,jygreeneagzrszjdibkahqtktrxbhu,1
784,dppolxhluznyrobmtrmuauxnkmuins,0
785,istydworjphidhvrqopsdtakingkba,1
786,pcuwngxvmzzltvufxxrsyycoezlmon,0
787,eyghfjojbiagxhdztlacedrcszxbgy,0
788,pfzgservanteprsbziuvujnzmhwxce,1
789,kosppmcuvjqzfqcchhqdputbxlkoyk,1
790,xplbtmpdezislpudltkwocodressin,0
791,gjtpgugcptinpdmokoprcoqiyzvizy,0
792,olnlsrffiyihklugscphvxfvocjujd,0
793,msxkcqyblhkqavyuktgeqisxqdpwqp,0
794,rhphldmeztablefsgnadfznhcrymil,1
795,cfvmissophonisbaccwzrzudvgmtam,1
796,pikrjuhxebsmymquyalhandedmiqrl,1
797,jwqourascvmshhxqgbuuhnvsoverei,0
798,gnvljwenqiwbpajvyglwhaqqnhqiml,0
799,nkmjtmsnmiipyjxzksundcpeklscim,0
800,eejivgznhyzfznqtabxvbootsaqdes,1
801,igwjbshaveqvllvrjhayfxtubqjxtx,0
802,fzcihvdancunnocmisukeqrnmfqzua,0
803,ndydgivingswxdjsxmuycalcvonawy,1
804,puwbenwzoxydhxuagrainstruction,0
805,seqkeepqgijzhkrnqcwqycasewzxhh,1
806,fsocrugbpgepvjufjlfusvdiaanton,0
807,ioxgyfamfekeuynyrastrobxqgrlcx,0
808,ltszjtqxvtxtwiasqbcogmangzycpi,1
809,hagltesvwyfujmzpirjtqpzajosusa,0
810,janycvghstichuckedklawcpiixkfz,1
811,pppdylncygnlmesixgobpimsfygzpa,0
812,mhhcxshhxdmxrqmkuhgyyuxzfxzwgc,0
813,ceilingggjlxabmqthumbycaughthn,1
814,tzdqsvepzlpygjcjafellusatisfie,1
815,dqieidunaupiriltkculfyipfpakvr,0
816,vcashiairuajjfardatyipxzyunpyj,1
817,pbjypdyvmdeaanjybfdsaefhesoxrk,0
818,zqsvjrqivaeldroppedqpdwqfigjdc,1
819,yzqcrecessesrczpcswiliscvhrcnq,1
820,mqfdcaelpbaklxxcegdalwgdcebagi,0
821,mzdiblsgybddgiilhbqpijaabsmaxb,0
822,pocketnhetjxhemxjpbwrigairamps,1
823,ulrdwbwfylrajrvzizzialioazcgre,0
824,eneszsylljprmbtnlgyjetzwphsati,0
825,sfiedgcsijgddbclykehqslloavqyz,0
826,iaqgxdknvnomkmxdkzfenvifelttsd,1
827,aawnuoqfnffzqwsiegowhmsadvkyhh,0
828,adtjmhqjfdtsabwhpjsjvkfzsxabrw,0
829,maunkklstzzzypaidaynqdwnzfgxgm,1
830,swwwiajaxyogvxhfiyfullowlmjmkj,1
831,vdijxkbservicesguzhimyfjrfxlfb,1
832,dbecczmuiuiamanyfcxkwzsxypxlif,0
833,cksjukeklhyoltkbeggxoreqaqmnso,0
834,cqjiyypammbxqiwbqtifobsequious,1
835,qhyvlknrnejhqpdqdkpnoylzcvhxvs,0
836,ulgxeiwiiwdsjsxozlwmdalbprbtpu,0
837,utgqplrrfcwwmzmujlbowsbmgrbgvt,1
838,xeguohmmxbjtpqtywyybxuqfdvdpui,0
839,wmagwvidrafjkpzokttbieyjnpzgqf,0
840,dyipqfbkhgzqnpwlwnpassurancesj,1
841,wllkvvylnpjzzjmkcddvzffzbaupyj,0
842,tijtiiwioeyqeqxajdsdakqmqdeepq,1
843,zwupwsooapzsrjtwypigieznbjeutf,0
844,mdwomjczpdfmyrespectztzpccywrw,1
845,khppxenpdiqcqsbhlakyuxtmodilnd,0
846,tanzvdsqnntsiimbkttbubgnnezyfq,0
847,kzjvwmalvpbfxhrivlandlordaobyz,1
848,xlmifccpkqfamilyfmgoxaljmsdqni,1
849,gfxomnmrrxafxqsltilzdgoyjwithd,0
850,rewxjedvytndzxzcrtloncgfjombuc,0
851,dfredubmgxqrxkudpdifyflcvarxzi,0
852,zjxnupjtqlfroomqnswaacyuqodeuj,1
853,hhsqomfadkangltcrwmxldotupgoqa,0
854,txszxxywncygqsxplqdkuhwudrjfow,0
855,ohhvluzvjjrlzmrsgskkgreenerapn,1
856,wjwrmrszqfzuxktheywwovgreenepp,1
857,qhmkoeqbiyzozauupfcmhyxjgkhzwm,0
858,jrmxswsleijurmkipsdogbueappywp,0
859,pchdxfoqvirkuozwgbsnspprkgaffa,0
860,bilityoqzujwtrnmdfapbqgbgthjch,0
861,sqhwdvcaixjazhadrzrahhzefbkqtt,1
862,egriomepsjineqzhtvresesaitrbqt,0
863,addyfvdiyrnlgxztvhvberpqqtshow,0
864,nksjjjewelsqmydwhkfufqpebospyg,1
865,tetkgrjongvimhvozsfioahhlvxxct,0
866,qasmowwdfzzgirlsrjaniwferfcydf,1
867,xhwzallowedbvbwbjueavaewhpkzex,1
868,pressgogjunugbervywinwsbhynadm,0
869,irationuojfaofdoyovuznscqbwcsp,0
870,umwdgfqprettyisptygxljcsqpxjoj,1
871,ivzscyrrrxwaffjjonqjoqwzvwnkpo,0
872,ipjwpauytbscczbyjjfndaitaliany,1
873,xbyfbvlgefqsuperlativesqcjdmdl,1
874,jbfxlrtzofeeznwantedigncimccpg,1
875,gxwojjygkgixdbgfnqxkzesyalnhji,0
876,ekbyionightchappyxgsqnahdaqsnb,1
877,ylbfdqnfrnrghgbjbellaggioikgkk,1
878,etjgcytcywmoybwnfnzudjupdggkno,0
879,uqdgofkbcgtstnjyhnbgqastaymtuh,1
880,eegbuycpntnukmixxjvkmwvedfkisy,0
881,afxzpzcussjcoglioavmpwuzogqfsh,0
882,foffafzliubytgezdnweekhwhsukdm,1
883,tdnmmakedykqihvpkucrxdmzyuejws,1
884,vxhappyxwkhoikelsahfdedzctulwv,1
885,heqmcxqibwcmfiqcygtxdrcxhigumf,0
886,slunderstoodtrcuxazcozephlvrjj,1
887,wprdppyzcmnavtpnxadobhvomjutbh,0
888,bjslgpkgotvwgyugyvsjpywyzivnfq,0
889,qmtgegngvuwordprblcplqryxmlisi,1
890,lwszsvjjpgsqqsdzknkxxmixfvbbll,0
891,xncjaptbcunderstoodyfaznvuwfhp,1
892,qdpmovrrdestpbrmigvsexoqrlzxpr,0
893,mfbzdtgeuqpgthingsojbgqezixslo,1
894,sjdpdghlfturxtrcyovwpbqodwarix,0
895,gvygffnudxwivsruzybgzbrxtstzpi,0
896,kidsfzgjorosehjvzkedccolouredp,1
897,dqjdnpkfmvuegxygwfwhnqfnibmwbf,0
898,bwmndqizuunzfpalzyaiwaghpscrap,0
899,ingsjfvvpqbowsdvvyabsmleotggkk,1
900,abrhlqqdksyzmnmerracptbxhguyjx,0
901,apaossmddgnhpgrinningnwiigbryw,1
902,ogvehzdvvphewkongxmmlokntdbrif,0
903,jesnpeirdgefbumuehjxxtxojopgjn,0
904,glnxnjluhggsmilesdkblmxgfgqshb,1
905,stqygsmrmagdebjumhdpzopdzvjpfi,0
906,ozsznmlsatdtsgbhhcrrlzrrqgagyn,0
907,rkylwfwigifmflandlordnwjyeexub,1
908,rsveaiuzuvkesileuarqrhfgfvphws,0
909,yeljjcyemllqrmyrmidonsnenggwon,1
910,ahtdgwzwmryktwjrtyaircwtvdvvph,0
911,ctotttgeufochxxwmktjaysdzpakoc,0
912,llipsgsifmunulsimzzrzihmqeugwi,0
913,thdrewtpldrrjpwpdzvcgghsusiudu,0
914,vtsumnudtwzpysatyycdqdwiyonxbf,0
915,jtxlorfirvafdlhevcpoytcbauqkqk,0
916,fvutkymoalxxwsubmrlzoxmcialpyp,1
917,xwgoabdwieytoxnbjtjevctrszsmug,0
918,zmyqauboxixrpylvfwcgcfigreenem,1
919,xjgijfqixagrejrdxlcountingjnqb,1
920,bwemoneybilafwjogegumkcmbwzsmk,1
921,tsxqkcwszfplfwrepacsovereignab,1
922,cpmlsovereignhvpmtdkrxstanding,1
923,dlevuvitionmwobwfnagdvsxkrwzkn,0
924,afouspbzyckoyyqmphvrnwkzrljcyo,0
925,wkdrcjdouqtdlcbhjffoldedlfarms,1
926,shiizuecsofsnrkvaxjvqpsesqnkff,0
927,boixfxjowqvfteyjyjclbwnrywtumb,0
928,ocapykiivxjnrcjswwsxfjhjbosomd,1
929,wyqcosuhwdukadfbgposhniabeliev,0
930,ehahurircnjicpwoirjorxgiyvzara,0
931,pgtukgornzqenitrcypvtssxjvbopr,1
932,deqbgoodfibmeoulawfnshglvlrufv,1
933,hnightusuptiaxixoplbhnleivxuay,1
934,ingxceagmfdcwkprnjkwcqnhbhyxjb,0
935,unuupqihgcdplltrqvzjyhrfefwigo,0
936,utmrscukrfzreptxhvnpkuwuswsfkl,1
937,zslmquqyuwbklhemcvuqxcerihnpgn,0
938,xpslvkanhfelbipvfustmspauibbul,0
939,rfwvvkyhkykfuhrgreenesbaaccjjg,1
940,lqbmdzluinljurowrhsgmskttmigcd,0
941,qwmwldpaemsjncgbuqdxvvvwqfqxfk,0
942,asttexxpyqtfadieufvbbbwilgcfup,1
943,lhmolruulxqzypamtvjsophonisbad,1
944,dmljlowadunhaveapyzdxyjteezhor,1
945,xkndwxupleasurefjaemqzuxrdwish,1
946,ingdevjcepuianrfyaczmtyzktrpju,0
947,wzaafwhmjjvpabssqeucowgdtaxdgo,0
948,odjvqnxxtwqjygnniedphtweeiahfn,0
949,xgxjqrptffribbkhzgwtutastgmlqm,0
950,icrsderlxzrbqzhzbyeonnbfzsytey,1
951,kptvyapgwdgpmvgeelewnmrgqufnug,1
952,lbflntawlwwxoevsndnnvvxyfdhuuf,0
953,nkkslgreenekibsuiwixdaoqveihfb,1
954,peqcgoaackduiwsqgnikpyefcnlevm,0
955,whrdgkttmqfuyvebwalkedbjljvexg,1
956,edqfujdwhlhatecjgnpgbwfadzajok,0
957,epoztroomvfsaepnjbczamtjnurhwl,1
958,dvqskncgoaszqagcsqhgqeezbcfrlf,0
959,ayusjtpnauhmgxbxriciqmytqmdktl,0
960,gxirnutqhddshavehgsxfwittjxhrp,1
961,tzcqygdqvidservicewjzdembscjcc,1
962,qntgggpuvirgzetkkjpngtcbdjnjlg,0
963,wzbksgpquvnjgprhzkzlzwdbotuilr,0
964,suqycbhvujbaexamygjwcapablerod,1
965,uuwmfwudhkqtjgznylqdgqmiqwspin,0
966,bbmvhzbwbvhaasqiisoqfwltvyeesb,0
967,bqewjuexlhwwasthbspjmthinkingl,1
968,fwjzwjsijpibrzuzeweublpyzmcdqv,0
969,qsfkfkmhkenepqpqythiefsizujext,1
970,rgvnvjlwslzremoverkrviegstkzlw,1
971,kajbqauqwzkqqimpressionkrhxajl,1
972,uzjdarawbfobbnreuuwletyxghqtey,0
973,luqfcutieqpwmunoxszaohqnprhqao,0
974,ugjvylcdoafqolfxtgqkkgnthought,1
975,uxljcdnxufxvwwgdkgxiyyxzjptzuy,0
976,eznrefiosuitablegfsmctyjreolkx,1
977,klwiyfxmdcnvywaraxbghfxqmyscqm,0
978,kcuhvejphzfhvgirmfvhqdxraccpyi,0
979,leaogkrczmrydefendxinxltfjkldo,1
980,vaffsmriwumnbbrsykntodbevwhvij,0
981,wdnevbkoimputationtggkptlvpwwg,1
982,reenesqklsqhapjgdbzzplbycklchu,0
983,glswnizsxbgadfbpzemtnoixihvytd,0
984,tctuvemsuoywgnjcbexaoanfunfxlu,0
985,rvwtaxdvxtquwalkedahnfuovrygnh,1
986,nrzmzslowlyigyeibzroomlqvgrajd,1
987,sejwocncbraxgdtfamilyhacaqfcef,1
988,jkakwdncfshdaylvpamoufmspcegfn,1
989,ppxcabzpqoylzmbxjbavfdojmfisnr,0
990,wruewtiuepbttzlstooduweimkpxku,1
991,demcymdwqpucijlfmonldayzlbeach,1
992,fsnfknkwcjadjqtynzovqcmnorxaxo,0
993,drhbkdqpyfiefpgvfecdmorningrax,1
994,pfdbxmdqaqtvzpyeukzdguyeudqzig,0
995,eiubatkzjiportmanteaulqnvwetdz,1
996,jwvydiyxumyizcpqxkalwmqmagusdc,0
997,exgzorypwmmufxtceyuhwvllozbhxd,0
998,pqvdvhandedaxagpoxbdufzcaslmsu,1
999,vtzmyaarverrgvboatoqjgzmshdmsk,1
1000,ocileagfzgldpjdnygkawhyecbjsrp,0
1001,fmvejdvojredvzbmyjjgavedndpsdl,1
1002,acwpqwiptynrdebaimasvexwxefbdy,0
1003,tywfxzojdfbootszkknqffjonnrzij,1
